city_ascii,city,country
Saint Petersburg,Saint Petersburg,Russia
Qiqihar,Qiqihar,China
Suzhou,Suzhou,China
Monterrey,Monterrey,Mexico
Belo Horizonte,Belo Horizonte,Brazil
Weinan,Weinan,China
Rangoon,Rangoon,Myanmar
Zhangzhou,Zhangzhou,China
Yuncheng,Yuncheng,China
Xianyang,Xianyang,China
Guilin,Guilin,China
Atlanta,Atlanta,United States
Taizhou,Taizhou,China
Kashan,Kashan,Iran
Bozhou,Bozhou,China
Abidjan,Abidjan,C̫te d'Ivoire
Suqian,Suqian,China
Huaihua,Huaihua,China
Ji'an,Ji'an,China
Xiaoganzhan,Xiaoganzhan,China
Pingdingshan,Pingdingshan,China
Jiujiang,Jiujiang,China
Alexandria,Alexandria,Egypt
Mianyang,Mianyang,China
Sydney,Sydney,Australia
Huanglongsi,Huanglongsi,China
Washington,Washington,United States
Barcelona,Barcelona,Spain
Changsha,Changsha,China
Chenzhou,Chenzhou,China
Anqing,Anqing,China
Jiangmen,Jiangmen,China
Xinpu,Xinpu,China
Yibin,Yibin,China
Yangzhou,Yangzhou,China
Melbourne,Melbourne,Australia
Berlin,Berlin,Germany
Hengshui,Hengshui,China
Timbio,Timbio,Colombia
Kunming,Kunming,China
Yiyang,Yiyang,China
Guigang,Guigang,China
Changchun,Changchun,China
Jiangguanchi,Jiangguanchi,China
Casablanca,Casablanca,Morocco
Meizhou,Meizhou,China
Zhangjiakou,Zhangjiakou,China
Chifeng,Chifeng,China
Urumqi,Urumqi,China
Suzhou,Suzhou,China
Izmir,Izmir,Turkey
Linfen,Linfen,China
Shantou,Shantou,China
Kabul,Kabul,Afghanistan
Mogadishu,Mogadishu,Somalia
Luzhou,Luzhou,China
Hefei,Hefei,China
Boston,Boston,United States
Liuzhou,Liuzhou,China
Zhaoqing,Zhaoqing,China
Xiaoxita,Xiaoxita,China
Shijiazhuang,Shijiazhuang,China
Ningbo,Ningbo,China
Fuzhou,Fuzhou,China
Phoenix,Phoenix,United States
Zhuzhou,Zhuzhou,China
Amman,Amman,Jordan
Chuzhou,Chuzhou,China
Jeddah,Jeddah,Saudi Arabia
Qingyuan,Qingyuan,China
Loudi,Loudi,China
Binzhou,Binzhou,China
Deyang,Deyang,China
Taiyuan,Taiyuan,China
Kano,Kano,Nigeria
Wuhu,Wuhu,China
Nanning,Nanning,China
Harbin,Harbin,China
Abuja,Abuja,Nigeria
Yokohama,Yokohama,Japan
Baojishi,Baojishi,China
Zaozhuang,Zaozhuang,China
Xiamen,Xiamen,China
Neijiang,Neijiang,China
Fuzhou,Fuzhou,China
Baicheng,Baicheng,China
Anshan,Anshan,China
Medan,Medan,Indonesia
Yulinshi,Yulinshi,China
Wenzhou,Wenzhou,China
Changzhou,Changzhou,China
Puyang,Puyang,China
Jiaozuo,Jiaozuo,China
Nanchang,Nanchang,China
Ibadan,Ibadan,Nigeria
Hechi,Hechi,China
Detroit,Detroit,United States
Montreal,Montreal,Canada
Busan,Busan,South Korea
Hohhot,Hohhot,China
Seattle,Seattle,United States
Algiers,Algiers,Algeria
Hanzhong,Hanzhong,China
Tangshan,Tangshan,China
Shiyan,Shiyan,China
Lucknow,Lucknow,India
Siping,Siping,China
Mashhad,Mashhad,Iran
Boankra,Boankra,Ghana
Changzhi,Changzhi,China
Dubai,Dubai,United Arab Emirates
Qinzhou,Qinzhou,China
Guiyang,Guiyang,China
Bengbu,Bengbu,China
San Francisco,San Francisco,United States
Bazhou,Bazhou,China
Qincheng,Qincheng,China
Suining,Suining,China
Wuxi,Wuxi,China
Leshan,Leshan,China
Putian,Putian,China
Zhenjiang,Zhenjiang,China
Faisalabad,Faisalabad,Pakistan
Guang'an,Guang'an,China
Tongren,Tongren,China
Santa Cruz,Santa Cruz,Bolivia
Qinhuangdao,Qinhuangdao,China
Tongliao,Tongliao,China
Jinzhou,Jinzhou,China
Heyuan,Heyuan,China
San Diego,San Diego,United States
Jaipur,Jaipur,India
Xinzhou,Xinzhou,China
Lanzhou,Lanzhou,China
Wuzhou,Wuzhou,China
Athens,Athens,Greece
Addis Ababa,Addis Ababa,Ethiopia
Chaoyang,Chaoyang,China
Brasilia,Brasilia,Brazil
Taichung,Taichung,Taiwan
Kuwait City,Kuwait City,Kuwait
Budapest,Budapest,Hungary
Shaoguan,Shaoguan,China
Shanwei,Shanwei,China
Quezon City,Quezon City,Philippines
Rizhao,Rizhao,China
Kyiv,Kyiv,Ukraine
Sanaa,Sanaa,Yemen
Meishan,Meishan,China
Incheon,Incheon,South Korea
Guatemala City,Guatemala City,Guatemala
Birmingham,Birmingham,United Kingdom
Zhongshan,Zhongshan,China
Ningde,Ningde,China
Weihai,Weihai,China
Daqing,Daqing,China
Bursa,Bursa,Turkey
Salvador,Salvador,Brazil
Rome,Rome,Italy
Haikou,Haikou,China
La Paz,La Paz,Bolivia
Xiangtan,Xiangtan,China
Pyongyang,Pyongyang,North Korea
Minneapolis,Minneapolis,United States
Omdurman,Omdurman,Sudan
Malang,Malang,Indonesia
Mudanjiang,Mudanjiang,China
Stuttgart,Stuttgart,Germany
Brooklyn,Brooklyn,United States
Kaohsiung,Kaohsiung,Taiwan
Guayaquil,Guayaquil,Ecuador
Lisbon,Lisbon,Portugal
Longyan,Longyan,China
Tieling,Tieling,China
Manchester,Manchester,United Kingdom
Baotou,Baotou,China
Handan,Handan,China
Cawnpore,Cawnpore,India
Dingxi,Dingxi,China
Nanping,Nanping,China
Tampa,Tampa,United States
Zigong,Zigong,China
Maracaibo,Maracaibo,Venezuela
Chaozhou,Chaozhou,China
Mbuji-Mayi,Mbuji-Mayi,Congo (Kinshasa)
Denver,Denver,United States
Gulou,Gulou,China
Weifang,Weifang,China
Huai'an,Huai'an,China
Zibo,Zibo,China
Ankang,Ankang,China
Baoshan,Baoshan,China
Antananarivo,Antananarivo,Madagascar
Huludao,Huludao,China
Munich,Munich,Germany
Yanjiang,Yanjiang,China
Santo Domingo,Santo Domingo,Dominican Republic
Sanming,Sanming,China
Tashkent,Tashkent,Uzbekistan
Longba,Longba,China
Yangjiang,Yangjiang,China
Jiamusi,Jiamusi,China
Luohe,Luohe,China
Lincang,Lincang,China
Medellin,Medellin,Colombia
Xuanzhou,Xuanzhou,China
Yunfu,Yunfu,China
Shaoxing,Shaoxing,China
Yantai,Yantai,China
Huizhou,Huizhou,China
Lishui,Lishui,China
Mirzapur,Mirzapur,India
Hamburg,Hamburg,Germany
Guangyuan,Guangyuan,China
Cali,Cali,Colombia
Lusaka,Lusaka,Zambia
Huangshi,Huangshi,China
Xining,Xining,China
Ouagadougou,Ouagadougou,Burkina Faso
Daegu,Daegu,South Korea
Fortaleza,Fortaleza,Brazil
Yaounde,Yaounde,Cameroon
Jilin,Jilin,China
Dandong,Dandong,China
Zhuhai,Zhuhai,China
Lianshan,Lianshan,China
Yingkou,Yingkou,China
Antalya,Antalya,Turkey
Nagpur,Nagpur,India
Queens,Queens,United States
Accra,Accra,Ghana
Bekasi,Bekasi,Indonesia
Ghaziabad,Ghaziabad,India
Yuxi,Yuxi,China
Luoyang,Luoyang,China
Brisbane,Brisbane,Australia
Anshun,Anshun,China
Depok,Depok,Indonesia
Shangzhou,Shangzhou,China
Huainan,Huainan,China
Colombo,Colombo,Sri Lanka
Kuaidamao,Kuaidamao,China
Baku,Baku,Azerbaijan
Fukuoka,Fukuoka,Japan
Yan'an,Yan'an,China
Jincheng,Jincheng,China
Vancouver,Vancouver,Canada
Nantong,Nantong,China
Tangerang,Tangerang,Indonesia
Caracas,Caracas,Venezuela
Sanmenxia,Sanmenxia,China
Laibin,Laibin,China
Konya,Konya,Turkey
Manaus,Manaus,Brazil
Esfahan,Esfahan,Iran
Qinbaling,Qinbaling,China
Baltimore,Baltimore,United States
Ma'anshan,Ma'anshan,China
Shengli,Shengli,China
Gaoping,Gaoping,China
Taizhou,Taizhou,China
Harare,Harare,Zimbabwe
Kowloon,Kowloon,Hong Kong
Las Vegas,Las Vegas,United States
Havana,Havana,Cuba
Perth,Perth,Australia
Phnom Penh,Phnom Penh,Cambodia
Puning,Puning,China
Huaibei,Huaibei,China
Qingyang,Qingyang,China
Haiphong,Haiphong,Vietnam
Chongzuo,Chongzuo,China
Rawalpindi,Rawalpindi,Pakistan
Yushan,Yushan,China
St. Louis,St. Louis,United States
Kumasi,Kumasi,Ghana
Vadodara,Vadodara,India
Hezhou,Hezhou,China
Pingliang,Pingliang,China
Portland,Portland,United States
Vishakhapatnam,Vishakhapatnam,India
Gujranwala,Gujranwala,Pakistan
Baicheng,Baicheng,China
Gaziantep,Gaziantep,Turkey
Fushun,Fushun,China
Riverside,Riverside,United States
Bamako,Bamako,Mali
Quito,Quito,Ecuador
Minsk,Minsk,Belarus
Tijuana,Tijuana,Mexico
Bamenda,Bamenda,Cameroon
Boosaaso,Boosaaso,Somalia
Indore,Indore,India
Sanliurfa,Sanliurfa,Turkey
Vienna,Vienna,Austria
Karaj,Karaj,Iran
Kananga,Kananga,Congo (Kinshasa)
Peshawar,Peshawar,Pakistan
Sapporo,Sapporo,Japan
Ecatepec,Ecatepec,Mexico
Pingxiang,Pingxiang,China
Orlando,Orlando,United States
Aleppo,Aleppo,Syria
Sacramento,Sacramento,United States
Almaty,Almaty,Kazakhstan
San Juan,San Juan,Puerto Rico
San Antonio,San Antonio,United States
Yinchuan,Yinchuan,China
Thane,Thane,India
Santos,Santos,Brazil
Blantyre,Blantyre,Malawi
Bucharest,Bucharest,Romania
Curitiba,Curitiba,Brazil
Multan,Multan,Pakistan
Tainan,Tainan,Taiwan
Xiping,Xiping,China
Port Harcourt,Port Harcourt,Nigeria
Warsaw,Warsaw,Poland
Jixi,Jixi,China
Saidu Sharif,Saidu Sharif,Pakistan
Liaoyang,Liaoyang,China
Beihai,Beihai,China
Meru,Meru,Kenya
Brazzaville,Brazzaville,Congo (Brazzaville)
Fuxin,Fuxin,China
Wuwei,Wuwei,China
Mersin,Mersin,Turkey
Bhopal,Bhopal,India
Lubumbashi,Lubumbashi,Congo (Kinshasa)
Denpasar,Denpasar,Indonesia
Davao,Davao,Philippines
Shuyangzha,Shuyangzha,China
Adana,Adana,Turkey
Damascus,Damascus,Syria
Brussels,Brussels,Belgium
Hyderabad City,Hyderabad City,Pakistan
Diyarbakir,Diyarbakir,Turkey
San Jose,San Jose,United States
Chinchvad,Chinchvad,India
Montevideo,Montevideo,Uruguay
Pittsburgh,Pittsburgh,United States
Shuozhou,Shuozhou,China
Cincinnati,Cincinnati,United States
Benxi,Benxi,China
Baiyin,Baiyin,China
Mosul,Mosul,Iraq
Manhattan,Manhattan,United States
Caloocan City,Caloocan City,Philippines
Kampala,Kampala,Uganda
Patna,Patna,India
Tegucigalpa,Tegucigalpa,Honduras
Cleveland,Cleveland,United States
Sanzhou,Sanzhou,China
Changshu,Changshu,China
Mecca,Mecca,Saudi Arabia
Heihe,Heihe,China
Jingdezhen,Jingdezhen,China
Conakry,Conakry,Guinea
Recife,Recife,Brazil
Indianapolis,Indianapolis,United States
Austin,Austin,United States
Sangereng,Sangereng,Indonesia
Kansas City,Kansas City,United States
Zhongli,Zhongli,Taiwan
Novosibirsk,Novosibirsk,Russia
Bilaspur,Bilaspur,India
Semarang,Semarang,Indonesia
Ludhiana,Ludhiana,India
Narayanganj,Narayanganj,Bangladesh
Stockholm,Stockholm,Sweden
Chengtangcun,Chengtangcun,China
Agra,Agra,India
Balandougou,Balandougou,Mali
Agwar,Agwar,India
Leon de los Aldama,Leon de los Aldama,Mexico
Yopougon,Yopougon,C̫te d'Ivoire
Puebla,Puebla,Mexico
Madurai,Madurai,India
Hebi,Hebi,China
Cordoba,Cordoba,Argentina
Shiraz,Shiraz,Iran
Jamshedpur,Jamshedpur,India
Tabriz,Tabriz,Iran
Huzhou,Huzhou,China
Columbus,Columbus,United States
Sofia,Sofia,Bulgaria
Kawasaki,Kawasaki,Japan
San Jose,San Jose,Costa Rica
Aba,Aba,Nigeria
Palembang,Palembang,Indonesia
Zhangjiajie,Zhangjiajie,China
Kobe,Kobe,Japan
Jiaxing,Jiaxing,China
Charlotte,Charlotte,United States
Guiping,Guiping,China
Lianjiang,Lianjiang,China
Ximeicun,Ximeicun,China
Jianguang,Jianguang,China
Yucheng,Yucheng,China
Panama City,Panama City,Panama
Xushan,Xushan,China
Belem,Belem,Brazil
Virginia Beach,Virginia Beach,United States
Leizhou,Leizhou,China
Gwangju,Gwangju,South Korea
Nasik,Nasik,India
Porto Alegre,Porto Alegre,Brazil
Valencia,Valencia,Venezuela
Onitsha,Onitsha,Nigeria
Abu Dhabi,Abu Dhabi,United Arab Emirates
Daejeon,Daejeon,South Korea
Zapopan,Zapopan,Mexico
Bronx,Bronx,United States
Yekaterinburg,Yekaterinburg,Russia
Huazhou,Huazhou,China
Kyoto,Kyoto,Japan
Jinhua,Jinhua,China
Amsterdam,Amsterdam,Netherlands
Shuangyashan,Shuangyashan,China
Pizhou,Pizhou,China
El Kelaa des Srarhna,El Kelaa des Srarhna,Morocco
Dakar,Dakar,Senegal
Kharkiv,Kharkiv,Ukraine
Yangshe,Yangshe,China
Guyuan,Guyuan,China
Rui'an,Rui'an,China
Khulna,Khulna,Bangladesh
Muscat,Muscat,Oman
Wenling,Wenling,China
Gaozhou,Gaozhou,China
Faridabad,Faridabad,India
Chizhou,Chizhou,China
Tel Aviv-Yafo,Tel Aviv-Yafo,Israel
Ulaanbaatar,Ulaanbaatar,Mongolia
Goiania,Goiania,Brazil
Fuqing,Fuqing,China
Kayseri,Kayseri,Turkey
Wuzhong,Wuzhong,China
Belgrade,Belgrade,Serbia
Pingdu,Pingdu,China
Milan,Milan,Italy
Aurangabad,Aurangabad,India
Copenhagen,Copenhagen,Denmark
Yangquan,Yangquan,China
Yutan,Yutan,China
Huangshan,Huangshan,China
Auckland,Auckland,New Zealand
Makassar,Makassar,Indonesia
Santiago,Santiago,Dominican Republic
Milwaukee,Milwaukee,United States
Rajkot,Rajkot,India
Prague,Prague,Czechia
Samsun,Samsun,Turkey
Liangshi,Liangshi,China
Barranquilla,Barranquilla,Colombia
Saitama,Saitama,Japan
Guarulhos,Guarulhos,Brazil
Al Basrah,Al Basrah,Iraq
Mandalay,Mandalay,Myanmar
Juarez,Juarez,Mexico
Xintai,Xintai,China
Wusong,Wusong,China
Meerut,Meerut,India
Yushu,Yushu,China
Rongcheng,Rongcheng,China
Huazhou,Huazhou,China
Adelaide,Adelaide,Australia
Baishan,Baishan,China
Dayan,Dayan,China
Haicheng,Haicheng,China
Tripoli,Tripoli,Libya
Jiangyin,Jiangyin,China
Yicheng,Yicheng,China
Huaiyin,Huaiyin,China
Porto,Porto,Portugal
Cacuaco,Cacuaco,Angola
Soweto,Soweto,South Africa
Rosario,Rosario,Argentina
Canagatan,Canagatan,Philippines
Helsinki,Helsinki,Finland
Jabalpur,Jabalpur,India
Providence,Providence,United States
Rucheng,Rucheng,China
Nizhniy Novgorod,Nizhniy Novgorod,Russia
Ahvaz,Ahvaz,Iran
Jepara,Jepara,Indonesia
Shaoyang,Shaoyang,China
Comayaguela,Comayaguela,Honduras
Laiwu,Laiwu,China
Sharjah,Sharjah,United Arab Emirates
Kalamboli,Kalamboli,India
Jingling,Jingling,China
Kazan,Kazan,Russia
Suwon,Suwon,South Korea
Yongcheng,Yongcheng,China
Sumedang,Sumedang,Indonesia
Calgary,Calgary,Canada
Can Tho,Can Tho,Vietnam
Yiwu,Yiwu,China
Bagam,Bagam,Indonesia
Beidao,Beidao,China
Vasai,Vasai,India
Xiangshui,Xiangshui,China
Jacksonville,Jacksonville,United States
Akcaabat,Akcaabat,Turkey
Campinas,Campinas,Brazil
Dadukou,Dadukou,China
Mombasa,Mombasa,Kenya
Lingcheng,Lingcheng,China
Najafgarh,Najafgarh,India
Vila Velha,Vila Velha,Brazil
Gazipura,Gazipura,Bangladesh
Chelyabinsk,Chelyabinsk,Russia
Varanasi,Varanasi,India
Xinyu,Xinyu,China
Qom,Qom,Iran
Hargeysa,Hargeysa,Somalia
Zhangye,Zhangye,China
Hiroshima,Hiroshima,Japan
Maiduguri,Maiduguri,Nigeria
Chiang Mai,Chiang Mai,Thailand
Doha,Doha,Qatar
Maputo,Maputo,Mozambique
Mbandaka,Mbandaka,Congo (Kinshasa)
Pikine,Pikine,Senegal
Medina,Medina,Saudi Arabia
Srinagar,Srinagar,India
Omsk,Omsk,Russia
Dublin,Dublin,Ireland
Liaoyuan,Liaoyuan,China
Cilacap,Cilacap,Indonesia
Yingtan,Yingtan,China
Bandar Lampung,Bandar Lampung,Indonesia
Samara,Samara,Russia
Guankou,Guankou,China
Ulsan,Ulsan,South Korea
Dhanbad,Dhanbad,India
Dingzhou,Dingzhou,China
Lianyuan,Lianyuan,China
Rongcheng,Rongcheng,China
Kaiyuan,Kaiyuan,China
Nay Pyi Taw,Nay Pyi Taw,Myanmar
Zhuji,Zhuji,China
Kigali,Kigali,Rwanda
Bukavu,Bukavu,Congo (Kinshasa)
Leiyang,Leiyang,China
Bafoussam,Bafoussam,Cameroon
Yichun,Yichun,China
Benin City,Benin City,Nigeria
Rostov,Rostov,Russia
Xiantao,Xiantao,China
Amritsar,Amritsar,India
Callao,Callao,Peru
Salt Lake City,Salt Lake City,United States
Aligarh,Aligarh,India
Shagamu,Shagamu,Nigeria
Yingchuan,Yingchuan,China
Ciudad Nezahualcoyotl,Ciudad Nezahualcoyotl,Mexico
Tbilisi,Tbilisi,Georgia
Guwahati,Guwahati,India
Ufa,Ufa,Russia
Fes,Fes,Morocco
Sao Luis,Sao Luis,Brazil
Bien Hoa,Bien Hoa,Vietnam
Sevilla,Sevilla,Spain
N'Djamena,N'Djamena,Chad
Mexicali,Mexicali,Mexico
Nezahualcoyotl,Nezahualcoyotl,Mexico
Ikare,Ikare,Nigeria
Nashville,Nashville,United States
Tamale,Tamale,Ghana
Xibeijie,Xibeijie,China
Yuyao,Yuyao,China
Haora,Haora,India
Hanchuan,Hanchuan,China
Gongzhuling,Gongzhuling,China
Krasnoyarsk,Krasnoyarsk,Russia
Cologne,Cologne,Germany
Bujumbura,Bujumbura,Burundi
Bishkek,Bishkek,Kyrgyzstan
Zhufeng,Zhufeng,China
Sao Goncalo,Sao Goncalo,Brazil
Yerevan,Yerevan,Armenia
Ezhou,Ezhou,China
Nur-Sultan,Nur-Sultan,Kazakhstan
Tongjin,Tongjin,South Korea
Nouakchott,Nouakchott,Mauritania
Xiashi,Xiashi,China
Ranchi,Ranchi,India
Taixing,Taixing,China
Vereeniging,Vereeniging,South Africa
Gwalior,Gwalior,India
Zhongwei,Zhongwei,China
Goyang,Goyang,South Korea
Oslo,Oslo,Norway
Vijayawada,Vijayawada,India
Chandigarh,Chandigarh,India
Edmonton,Edmonton,Canada
Sendai,Sendai,Japan
Raleigh,Raleigh,United States
Mizhou,Mizhou,China
Tunis,Tunis,Tunisia
Xishan,Xishan,China
Barquisimeto,Barquisimeto,Venezuela
Hegang,Hegang,China
Voronezh,Voronezh,Russia
Perm,Perm,Russia
Changwon,Changwon,South Korea
Fangchenggang,Fangchenggang,China
Shouguang,Shouguang,China
Bogor,Bogor,Indonesia
Cartagena,Cartagena,Colombia
Matola,Matola,Mozambique
Jodhpur,Jodhpur,India
Memphis,Memphis,United States
Ogbomoso,Ogbomoso,Nigeria
Rangapukur,Rangapukur,Bangladesh
Managua,Managua,Nicaragua
Sanya,Sanya,China
Shymkent,Shymkent,Kazakhstan
Wutong,Wutong,China
Niamey,Niamey,Niger
Shubra al Khaymah,Shubra al Khaymah,Egypt
Linhai,Linhai,China
Denizli,Denizli,Turkey
Maceio,Maceio,Brazil
Monrovia,Monrovia,Liberia
Wafangdian,Wafangdian,China
Zhongxiang,Zhongxiang,China
Louisville,Louisville,United States
Odesa,Odesa,Ukraine
Thu Duc,Thu Duc,Vietnam
Volgograd,Volgograd,Russia
Islamabad,Islamabad,Pakistan
Port-au-Prince,Port-au-Prince,Haiti
Xinyi,Xinyi,China
Raipur,Raipur,India
Arequipa,Arequipa,Peru
Richmond,Richmond,United States
Zaoyang,Zaoyang,China
Buffalo,Buffalo,United States
Shuizhai,Shuizhai,China
Xingyi,Xingyi,China
Kota,Kota,India
Quetta,Quetta,Pakistan
Kathmandu,Kathmandu,Nepal
Ottawa,Ottawa,Canada
Lilongwe,Lilongwe,Malawi
Asmara,Asmara,Eritrea
Freetown,Freetown,Sierra Leone
Vientiane,Vientiane,Laos
Jerusalem,Jerusalem,Israel
Riga,Riga,Latvia
Bangui,Bangui,Central African Republic
Dushanbe,Dushanbe,Tajikistan
Lome,Lome,Togo
Ashgabat,Ashgabat,Turkmenistan
Zagreb,Zagreb,Croatia
Libreville,Libreville,Gabon
Cotonou,Cotonou,Benin
Pretoria,Pretoria,South Africa
Vilnius,Vilnius,Lithuania
Winnipeg,Winnipeg,Canada
Quebec City,Quebec City,Canada
Chisinau,Chisinau,Moldova
Port Moresby,Port Moresby,Papua New Guinea
Skopje,Skopje,Macedonia
Djibouti,Djibouti,Djibouti
Gaza,Gaza,Gaza Strip
Kingston,Kingston,Jamaica
Rabat,Rabat,Morocco
San Salvador,San Salvador,El Salvador
The Hague,The Hague,Netherlands
Asuncion,Asuncion,Paraguay
Juba,Juba,South Sudan
Maseru,Maseru,Lesotho
Bissau,Bissau,Guinea-Bissau
Valletta,Valletta,Malta
Bratislava,Bratislava,Slovakia
Kitchener,Kitchener,Canada
Manama,Manama,Bahrain
Tallinn,Tallinn,Estonia
Beirut,Beirut,Lebanon
Cape Town,Cape Town,South Africa
Tirana,Tirana,Albania
Sarajevo,Sarajevo,Bosnia and Herzegovina
Wellington,Wellington,New Zealand
Banjul,Banjul,The Gambia
Halifax,Halifax,Canada
Canberra,Canberra,Australia
Yamoussoukro,Yamoussoukro,C̫te d'Ivoire
Victoria,Victoria,Canada
Nicosia,Nicosia,Cyprus
Windhoek,Windhoek,Namibia
Saint-Denis,Saint-Denis,Reunion
Porto-Novo,Porto-Novo,Benin
Sucre,Sucre,Bolivia
Ljubljana,Ljubljana,Slovenia
Nassau,Nassau,The Bahamas
Bloemfontein,Bloemfontein,South Africa
Fort-de-France,Fort-de-France,Martinique
New Delhi,New Delhi,India
Gaborone,Gaborone,Botswana
Paramaribo,Paramaribo,Suriname
Dili,Dili,Timor-Leste
Dodoma,Dodoma,Tanzania
Georgetown,Georgetown,Guyana
Gibraltar,Gibraltar,Gibraltar
Malabo,Malabo,Equatorial Guinea
Suva,Suva,Fiji
Noumea,Noumea,New Caledonia
Pristina,Pristina,Kosovo
Male,Male,Maldives
Port Louis,Port Louis,Mauritius
Podgorica,Podgorica,Montenegro
Willemstad,Willemstad,Cura̤ao
Bern,Bern,Switzerland
Gitega,Gitega,Burundi
Reykjavik,Reykjavik,Iceland
Luxembourg,Luxembourg,Luxembourg
Papeete,Papeete,French Polynesia
Praia,Praia,Cabo Verde
Sri Jayewardenepura Kotte,Sri Jayewardenepura Kotte,Sri Lanka
Bridgetown,Bridgetown,Barbados
Moroni,Moroni,Comoros
Thimphu,Thimphu,Bhutan
Mbabane,Mbabane,Swaziland
Honiara,Honiara,Solomon Islands
Port of Spain,Port of Spain,Trinidad and Tobago
Castries,Castries,Saint Lucia
Putrajaya,Putrajaya,Malaysia
Cayenne,Cayenne,French Guiana
Sao Tome,Sao Tome,Sao Tome and Principe
Port-Vila,Port-Vila,Vanuatu
Bandar Seri Begawan,Bandar Seri Begawan,Brunei
Monaco,Monaco,Monaco
Apia,Apia,Samoa
Tarawa,Tarawa,Kiribati
Oranjestad,Oranjestad,Aruba
Saint Helier,Saint Helier,Jersey
Mamoudzou,Mamoudzou,Mayotte
Majuro,Majuro,Marshall Islands
Douglas,Douglas,Isle Of Man
George Town,George Town,Cayman Islands
Victoria,Victoria,Seychelles
Kingstown,Kingstown,Saint Vincent and the Grenadines
Andorra la Vella,Andorra la Vella,Andorra
Saint John's,Saint John's,Antigua and Barbuda
Nuku`alofa,Nuku`alofa,Tonga
Nuuk,Nuuk,Greenland
Belmopan,Belmopan,Belize
Roseau,Roseau,Dominica
